#m, E
 2004.5 0
2004.52 56
2004.54 37
2004.56 54
2004.58 60
2004.6 74
2004.62 58
2004.64 74
2004.66 79
2004.68 69
2004.7 67
2004.72 88
2004.74 100
2004.76 90
2004.78 96
2004.8 85
2004.82 109
2004.84 114
2004.86 118
2004.88 88
2004.9 98
2004.92 126
2004.94 120
2004.96 124
2004.98 131
2005 114
2005.02 128
2005.04 126
2005.06 114
2005.08 134
2005.1 149
2005.12 143
2005.14 137
2005.16 144
2005.18 120
2005.2 114
2005.22 108
2005.24 127
2005.26 139
2005.28 155
2005.3 153
2005.32 160
2005.34 151
2005.36 179
2005.38 156
2005.4 158
2005.42 171
2005.44 148
2005.46 163
2005.48 196
2005.5 153
2005.52 160
2005.54 182
2005.56 199
2005.58 182
2005.6 215
2005.62 195
2005.64 192
2005.66 178
2005.68 180
2005.7 190
2005.72 172
2005.74 162
2005.76 206
2005.78 204
2005.8 181
2005.82 182
2005.84 176
2005.86 213
2005.88 187
2005.9 197
2005.92 229
2005.94 203
2005.96 157
2005.98 243
2006 197
2006.02 195
2006.04 205
2006.06 221
2006.08 203
2006.1 224
2006.12 197
2006.14 217
2006.16 226
2006.18 199
2006.2 234
2006.22 249
2006.24 229
2006.26 233
2006.28 209
2006.3 218
2006.32 264
2006.34 247
2006.36 222
2006.38 271
2006.4 216
2006.42 262
2006.44 252
2006.46 274
2006.48 223
2006.5 263
2006.52 227
2006.54 261
2006.56 216
2006.58 277
2006.6 257
2006.62 280
2006.64 265
2006.66 292
2006.68 297
2006.7 286
2006.72 274
2006.74 229
2006.76 262
2006.78 275
2006.8 259
2006.82 318
2006.84 282
2006.86 249
2006.88 273
2006.9 313
2006.92 240
2006.94 259
2006.96 290
2006.98 320
2007 310
2007.02 280
2007.04 291
2007.06 314
2007.08 277
2007.1 325
2007.12 329
2007.14 280
2007.16 290
2007.18 294
2007.2 290
2007.22 325
2007.24 292
2007.26 326
2007.28 321
2007.3 301
2007.32 340
2007.34 312
2007.36 294
2007.38 330
2007.4 304
2007.42 334
2007.44 332
2007.46 374
2007.48 360
2007.5 403
2007.52 294
2007.54 325
2007.56 330
2007.58 377
2007.6 354
2007.62 364
2007.64 388
2007.66 412
2007.68 354
2007.7 402
2007.72 304
2007.74 406
2007.76 410
2007.78 373
2007.8 383
2007.82 378
2007.84 393
2007.86 364
2007.88 367
2007.9 376
2007.92 402
2007.94 405
2007.96 357
2007.98 407
2008 424
2008.02 385
2008.04 399
2008.06 407
2008.08 441
2008.1 406
2008.12 435
2008.14 451
2008.16 419
2008.18 395
2008.2 444
2008.22 441
2008.24 480
2008.26 463
2008.28 473
2008.3 473
2008.32 470
2008.34 418
2008.36 494
2008.38 468
2008.4 447
2008.42 507
2008.44 514
2008.46 509
2008.48 458
2012 0
2012.05 640
2012.1 626
2012.15 614
2012.2 534
2012.25 583
2012.3 653
2012.35 547
2012.4 524
2012.45 564
2012.5 614
2012.55 609
2012.6 606
2012.65 582
2012.7 579
2012.75 570
2012.8 506
2012.85 504
2012.9 583
2012.95 596
2013 534
2013.05 606
2013.1 509
2013.15 558
2013.2 553
2013.25 586
2013.3 523
2013.35 640
2013.4 586
2013.45 562
2013.5 568
